ship_mode,segment,region,category,quantity,discount,shipping_cost,order_priority,return
Standard Class,Home Office,Central,Technology,2,0.15,10.54,Medium,
Second Class,Corporate,Central,Office Supplies,5,0.1,4.04,Medium,Yes
Second Class,Corporate,Central,Office Supplies,7,0.0,7.78,High,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,3.59,Medium,
First Class,Corporate,North,Office Supplies,1,0.0,1.06,High,
First Class,Corporate,North,Furniture,7,0.2,65.73,High,
Standard Class,Consumer,EMEA,Technology,4,0.0,127.29,Medium,
Standard Class,Corporate,South,Furniture,2,0.0,3.67,Medium,
Standard Class,Consumer,North,Office Supplies,2,0.0,2.17,Low,
Standard Class,Consumer,Central,Office Supplies,4,0.0,4.92,Medium,
Standard Class,Consumer,Africa,Technology,1,0.7,3.05,Medium,
Standard Class,Consumer,North,Office Supplies,3,0.0,7.96,High,
Standard Class,Consumer,Southeast Asia,Office Supplies,2,0.47,1.36,High,
Standard Class,Consumer,Caribbean,Furniture,2,0.0,6.54,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,2.57,Medium,
First Class,Corporate,EMEA,Office Supplies,2,0.0,2.82,High,
Standard Class,Consumer,North,Technology,5,0.0,35.42,Medium,
First Class,Corporate,EMEA,Technology,1,0.0,9.55,Medium,
First Class,Home Office,Central,Technology,1,0.0,24.09,High,
Standard Class,Corporate,South,Furniture,1,0.0,2.79,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.7,0.1,Medium,
First Class,Corporate,EMEA,Office Supplies,2,0.0,23.57,Medium,
Standard Class,Consumer,EMEA,Technology,2,0.0,53.73,Medium,
Standard Class,Consumer,North,Office Supplies,9,0.0,2.2,Medium,
First Class,Home Office,North Asia,Furniture,2,0.3,104.01,High,
First Class,Consumer,Central Asia,Furniture,7,0.0,78.91,High,
Standard Class,Corporate,East,Office Supplies,4,0.0,0.71,Medium,
Standard Class,Corporate,East,Furniture,3,0.0,15.93,High,
Standard Class,Home Office,Caribbean,Office Supplies,3,0.0,83.09,Medium,
Standard Class,Corporate,Central,Office Supplies,1,0.0,2.1,High,
Standard Class,Corporate,East,Office Supplies,5,0.0,77.87,High,
Standard Class,Corporate,South,Office Supplies,3,0.6,1.2,Medium,
Second Class,Consumer,Caribbean,Technology,7,0.002,152.53,High,
Second Class,Corporate,North,Office Supplies,7,0.0,92.91,High,
First Class,Corporate,Southeast Asia,Office Supplies,3,0.47,2.33,Medium,
Standard Class,Home Office,Central,Furniture,4,0.0,15.12,Medium,
Second Class,Corporate,North,Furniture,7,0.0,17.36,High,
Standard Class,Corporate,East,Furniture,2,0.0,1.9,High,
First Class,Corporate,Southeast Asia,Office Supplies,1,0.47,1.59,Medium,
Standard Class,Corporate,Central,Office Supplies,4,0.1,87.26,Medium,Yes
Standard Class,Corporate,Caribbean,Office Supplies,3,0.2,8.7,Low,
Standard Class,Corporate,East,Technology,5,0.0,13.57,High,
Standard Class,Corporate,Central,Furniture,4,0.1,41.38,High,
Second Class,Consumer,Caribbean,Technology,2,0.002,48.84,High,
Standard Class,Home Office,Central,Office Supplies,3,0.0,4.43,Medium,
Standard Class,Consumer,West,Furniture,3,0.2,12.44,Medium,Yes
Same Day,Home Office,Oceania,Furniture,4,0.4,24.71,High,
Standard Class,Corporate,Central,Office Supplies,2,0.0,3.45,High,
Standard Class,Home Office,Central,Furniture,8,0.1,43.8,Medium,
Standard Class,Corporate,North,Office Supplies,2,0.0,4.47,Low,
Standard Class,Corporate,Central,Office Supplies,3,0.0,4.8,High,
First Class,Corporate,Southeast Asia,Furniture,1,0.07,11.1,Medium,
Standard Class,Home Office,Central,Furniture,2,0.1,11.66,Medium,
Standard Class,Home Office,East,Furniture,2,0.0,28.98,Medium,
Standard Class,Corporate,Central,Technology,5,0.0,38.41,Medium,
Standard Class,Consumer,EMEA,Furniture,1,0.0,1.36,Medium,
Second Class,Consumer,South,Office Supplies,5,0.0,5.86,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,8,0.47,8.2,High,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,1.98,High,
Standard Class,Corporate,Central,Office Supplies,2,0.2,3.41,Medium,
Standard Class,Consumer,Central,Furniture,1,0.0,2.35,Medium,Yes
First Class,Consumer,EMEA,Technology,1,0.0,13.38,Critical,
First Class,Home Office,South,Technology,8,0.1,369.17,Critical,
Standard Class,Corporate,Central,Technology,2,0.0,12.55,Medium,
Standard Class,Corporate,Central,Furniture,3,0.32,19.92,Medium,
First Class,Home Office,South,Office Supplies,1,0.0,3.43,Critical,
Standard Class,Consumer,Central,Technology,5,0.0,10.99,Medium,
Standard Class,Corporate,Central,Office Supplies,2,0.0,4.46,Medium,
Second Class,Consumer,EMEA,Technology,1,0.0,19.54,High,
Standard Class,Corporate,EMEA,Office Supplies,2,0.0,2.94,High,
Standard Class,Consumer,EMEA,Furniture,1,0.0,4.53,Medium,
Standard Class,Corporate,Central,Office Supplies,3,0.0,4.54,Medium,
Standard Class,Consumer,Central,Technology,2,0.0,7.77,Medium,Yes
Standard Class,Consumer,Central,Technology,1,0.0,3.51,Medium,
Second Class,Consumer,Oceania,Furniture,2,0.4,11.12,High,
Standard Class,Consumer,Central,Technology,1,0.15,15.54,Medium,Yes
First Class,Corporate,Central,Office Supplies,3,0.2,9.82,Critical,
Second Class,Corporate,Central,Technology,3,0.15,28.5,High,
Standard Class,Corporate,Central,Office Supplies,3,0.2,3.25,Medium,
First Class,Corporate,Canada,Office Supplies,4,0.0,19.68,High,
Standard Class,Consumer,Southeast Asia,Office Supplies,2,0.47,0.64,High,
Standard Class,Consumer,Central,Office Supplies,4,0.0,2.49,Medium,Yes
Standard Class,Consumer,EMEA,Furniture,1,0.0,11.8,Medium,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,6.48,High,
Standard Class,Consumer,Southeast Asia,Office Supplies,3,0.47,2.02,High,
Standard Class,Corporate,Central,Office Supplies,5,0.8,0.64,Medium,
Second Class,Corporate,Central,Office Supplies,3,0.0,7.03,Critical,
Standard Class,Consumer,Central,Office Supplies,3,0.0,2.5,Medium,Yes
Standard Class,Corporate,Africa,Office Supplies,2,0.0,3.84,Medium,
Standard Class,Consumer,Central,Office Supplies,1,0.0,1.93,Medium,Yes
Standard Class,Consumer,South,Furniture,4,0.0,6.84,High,
Same Day,Corporate,Caribbean,Technology,3,0.002,6.84,Medium,
Same Day,Corporate,Caribbean,Office Supplies,7,0.0,8.67,Medium,
Second Class,Corporate,Central,Furniture,4,0.0,93.22,Critical,
Second Class,Consumer,Africa,Furniture,1,0.0,0.62,High,
Second Class,Consumer,Central,Office Supplies,3,0.5,1.57,Medium,
First Class,Consumer,EMEA,Office Supplies,1,0.0,4.02,Critical,
Second Class,Consumer,EMEA,Technology,6,0.0,91.34,High,
Standard Class,Corporate,Central,Office Supplies,8,0.0,5.86,Medium,
Second Class,Corporate,Central,Technology,7,0.0,134.33,Critical,
Standard Class,Corporate,EMEA,Office Supplies,6,0.0,25.49,High,
Standard Class,Consumer,South,Office Supplies,2,0.0,6.7,High,
Standard Class,Corporate,EMEA,Office Supplies,1,0.0,5.25,High,
Second Class,Consumer,South,Office Supplies,6,0.4,12.85,Medium,
Second Class,Corporate,Central,Office Supplies,2,0.0,3.67,High,
First Class,Consumer,EMEA,Office Supplies,2,0.0,3.29,Critical,
Standard Class,Corporate,EMEA,Furniture,2,0.0,62.11,High,
Standard Class,Consumer,Southeast Asia,Technology,4,0.25,19.0,Medium,
Standard Class,Consumer,North,Technology,8,0.002,43.55,Medium,
First Class,Consumer,EMEA,Furniture,1,0.0,14.78,High,
Standard Class,Home Office,Southeast Asia,Office Supplies,7,0.0,164.5,High,
Second Class,Consumer,North,Office Supplies,7,0.1,10.16,High,
Second Class,Consumer,North,Office Supplies,5,0.1,38.87,High,
First Class,Corporate,EMEA,Furniture,12,0.0,36.66,High,
Standard Class,Consumer,North,Furniture,5,0.2,79.25,Medium,
Standard Class,Consumer,Central,Technology,5,0.0,22.17,Medium,
First Class,Consumer,EMEA,Office Supplies,1,0.7,0.39,Critical,
Standard Class,Consumer,Africa,Office Supplies,4,0.0,35.45,Medium,
Second Class,Consumer,Oceania,Furniture,3,0.1,188.21,High,
Standard Class,Consumer,Africa,Technology,1,0.0,9.28,Medium,
Standard Class,Corporate,South,Office Supplies,5,0.2,0.43,Medium,
Standard Class,Home Office,Southeast Asia,Office Supplies,3,0.0,4.74,High,
First Class,Corporate,West,Technology,4,0.0,9.21,Medium,Yes
Standard Class,Corporate,EMEA,Office Supplies,4,0.0,10.96,Medium,
Second Class,Consumer,Oceania,Office Supplies,4,0.1,7.09,High,
Standard Class,Corporate,East,Technology,2,0.0,12.63,Medium,
Standard Class,Consumer,Central,Office Supplies,5,0.0,2.2,Medium,
Second Class,Consumer,Central,Furniture,3,0.1,55.39,High,
Standard Class,Consumer,Africa,Technology,2,0.0,6.49,Medium,
Standard Class,Consumer,Africa,Technology,1,0.0,9.09,Medium,
First Class,Corporate,EMEA,Technology,1,0.0,46.47,High,
Second Class,Home Office,South,Office Supplies,1,0.7,0.85,Critical,
Second Class,Consumer,Oceania,Technology,1,0.1,8.14,High,
Standard Class,Home Office,West,Furniture,3,0.0,11.34,Medium,
Standard Class,Consumer,Oceania,Furniture,3,0.1,31.62,Medium,
Second Class,Corporate,Central,Office Supplies,1,0.0,2.53,High,
Standard Class,Consumer,North,Furniture,7,0.2,18.51,Medium,
Standard Class,Home Office,West,Office Supplies,2,0.2,0.2,Medium,
Standard Class,Home Office,East,Furniture,2,0.1,21.84,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,2.53,Medium,
Standard Class,Consumer,Canada,Office Supplies,1,0.0,15.77,High,
Standard Class,Consumer,South,Technology,7,0.0,28.62,Medium,
Standard Class,Consumer,North,Furniture,2,0.2,3.64,Medium,
Standard Class,Home Office,Central,Furniture,4,0.0,20.73,High,
Standard Class,Home Office,Southeast Asia,Office Supplies,3,0.0,6.01,High,
Second Class,Consumer,Oceania,Office Supplies,2,0.1,11.98,High,
Standard Class,Consumer,North,Furniture,3,0.6,2.41,Medium,
Second Class,Consumer,Central,Office Supplies,6,0.0,8.69,High,
Standard Class,Corporate,East,Office Supplies,1,0.0,0.16,Medium,
Standard Class,Consumer,Southeast Asia,Technology,5,0.25,88.29,Medium,
Standard Class,Corporate,South,Office Supplies,9,0.0,4.21,Medium,
Second Class,Consumer,South,Furniture,1,0.0,4.51,Medium,
Second Class,Consumer,Oceania,Office Supplies,3,0.1,2.89,High,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,0.31,Medium,
Second Class,Corporate,Caribbean,Furniture,7,0.2,31.94,Medium,
Standard Class,Consumer,Central,Office Supplies,1,0.1,5.87,Medium,
Second Class,Corporate,Southeast Asia,Office Supplies,2,0.27,4.2,Medium,
Same Day,Consumer,South,Office Supplies,4,0.4,9.86,High,
Standard Class,Consumer,South,Furniture,4,0.5,31.14,Medium,
Same Day,Consumer,South,Office Supplies,2,0.4,7.87,High,
Standard Class,Consumer,South,Office Supplies,5,0.0,2.84,Medium,
Standard Class,Consumer,Central Asia,Office Supplies,5,0.0,4.8,Medium,
Standard Class,Consumer,Central,Office Supplies,1,0.4,7.17,Medium,
Second Class,Corporate,Southeast Asia,Office Supplies,5,0.17,1.29,Medium,
Standard Class,Corporate,North Asia,Office Supplies,9,0.0,4.52,Medium,Yes
Standard Class,Consumer,Central Asia,Office Supplies,3,0.0,2.62,Medium,
Same Day,Consumer,South,Technology,5,0.402,100.93,High,
Same Day,Consumer,South,Office Supplies,5,0.4,30.26,High,
Standard Class,Home Office,Southeast Asia,Office Supplies,2,0.45,2.17,High,
Standard Class,Corporate,North Asia,Office Supplies,6,0.0,2.38,Medium,Yes
Standard Class,Consumer,Central,Office Supplies,4,0.0,2.09,Medium,
Same Day,Consumer,South,Furniture,1,0.4,0.48,High,
Standard Class,Consumer,South,Office Supplies,5,0.0,21.85,Medium,
Standard Class,Corporate,North Asia,Technology,6,0.0,78.93,Medium,Yes
Standard Class,Consumer,Central,Office Supplies,7,0.4,10.1,Medium,
Same Day,Consumer,South,Technology,6,0.4,32.75,High,
Standard Class,Consumer,Central,Furniture,2,0.4,3.05,Medium,
Second Class,Consumer,North,Office Supplies,2,0.0,5.55,High,
Standard Class,Corporate,North Asia,Technology,4,0.0,67.17,Medium,Yes
Standard Class,Corporate,North Asia,Technology,3,0.0,24.89,Medium,Yes
Standard Class,Consumer,South,Office Supplies,3,0.0,7.65,Medium,
Standard Class,Corporate,North Asia,Office Supplies,6,0.0,7.41,Medium,Yes
First Class,Consumer,South,Office Supplies,3,0.0,142.63,High,
Second Class,Consumer,Central,Office Supplies,2,0.0,3.88,Medium,
Standard Class,Consumer,Southeast Asia,Furniture,7,0.07,40.22,Medium,
Standard Class,Consumer,EMEA,Office Supplies,2,0.6,0.9,Medium,
Second Class,Consumer,Central,Office Supplies,5,0.0,21.38,High,
First Class,Consumer,North,Office Supplies,8,0.0,32.97,Critical,Yes
First Class,Consumer,West,Office Supplies,3,0.7,0.76,Medium,
First Class,Consumer,North,Office Supplies,2,0.0,15.89,Critical,Yes
First Class,Corporate,Central,Office Supplies,5,0.2,8.5,Medium,
Standard Class,Consumer,South,Office Supplies,3,0.0,0.97,Medium,
First Class,Consumer,North,Office Supplies,2,0.0,2.77,Critical,Yes
First Class,Consumer,South,Technology,2,0.4,34.35,High,
Second Class,Consumer,EMEA,Office Supplies,2,0.0,6.15,High,
Standard Class,Consumer,North,Office Supplies,5,0.0,10.98,Medium,
Second Class,Consumer,EMEA,Office Supplies,2,0.0,4.43,High,
Standard Class,Consumer,North,Office Supplies,6,0.0,23.42,Medium,
Standard Class,Home Office,EMEA,Office Supplies,2,0.0,6.67,Medium,
Standard Class,Home Office,EMEA,Office Supplies,1,0.0,0.8,Medium,
Standard Class,Consumer,North,Technology,3,0.0,5.12,High,
Standard Class,Home Office,Southeast Asia,Furniture,2,0.35,15.26,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,4,0.47,0.77,Medium,
First Class,Consumer,North,Office Supplies,7,0.0,31.33,Critical,Yes
First Class,Consumer,West,Office Supplies,3,0.2,0.18,Medium,
Second Class,Consumer,EMEA,Technology,4,0.0,24.5,High,
First Class,Consumer,South,Office Supplies,7,0.0,61.47,High,
First Class,Consumer,North,Technology,4,0.002,219.53,Critical,Yes
Standard Class,Consumer,North,Office Supplies,7,0.0,14.05,Medium,
Standard Class,Consumer,North,Office Supplies,3,0.5,0.88,Medium,
Standard Class,Consumer,East,Office Supplies,7,0.0,6.54,High,
Standard Class,Corporate,EMEA,Technology,1,0.0,30.42,Medium,
Standard Class,Consumer,West,Office Supplies,5,0.2,2.1,Medium,
Standard Class,Consumer,South,Office Supplies,4,0.0,3.01,Medium,
Standard Class,Consumer,West,Office Supplies,2,0.0,0.67,Medium,
Second Class,Home Office,EMEA,Office Supplies,1,0.0,5.84,High,
Standard Class,Consumer,East,Office Supplies,1,0.0,0.63,High,
Same Day,Consumer,East,Technology,2,0.4,122.2,High,
Standard Class,Consumer,East,Furniture,4,0.0,5.61,High,
Standard Class,Consumer,Central,Office Supplies,7,0.8,0.31,Medium,
Standard Class,Consumer,West,Office Supplies,9,0.0,4.44,Medium,Yes
Standard Class,Home Office,Africa,Office Supplies,4,0.7,2.32,High,
Second Class,Home Office,Central,Technology,2,0.0,334.26,Critical,
Standard Class,Consumer,West,Technology,2,0.2,6.4,Medium,Yes
Same Day,Consumer,EMEA,Technology,8,0.0,366.58,High,
Standard Class,Consumer,West,Office Supplies,3,0.0,1.8,High,
Standard Class,Consumer,North,Office Supplies,1,0.1,1.34,Medium,Yes
Standard Class,Consumer,West,Furniture,6,0.2,16.35,Medium,
First Class,Home Office,South,Technology,14,0.0,483.26,High,
Standard Class,Home Office,West,Office Supplies,5,0.0,1.55,Medium,
Standard Class,Corporate,North,Office Supplies,3,0.0,2.47,Medium,
Standard Class,Consumer,Central,Furniture,1,0.0,3.78,High,
Second Class,Consumer,Oceania,Office Supplies,1,0.1,18.31,High,
Standard Class,Consumer,West,Office Supplies,6,0.2,8.88,Medium,
Standard Class,Home Office,Central,Office Supplies,3,0.0,7.5,Medium,
Standard Class,Corporate,EMEA,Office Supplies,4,0.0,2.91,Medium,
Standard Class,Consumer,West,Office Supplies,6,0.2,25.61,Medium,
Standard Class,Consumer,West,Office Supplies,1,0.0,0.61,High,
Same Day,Consumer,East,Furniture,1,0.3,15.15,High,
Standard Class,Corporate,Africa,Office Supplies,4,0.0,10.44,Low,
Second Class,Consumer,South,Technology,6,0.0,6.95,Medium,
Second Class,Corporate,West,Office Supplies,2,0.0,0.72,Medium,
First Class,Home Office,East,Office Supplies,3,0.7,2.8,High,
Standard Class,Consumer,West,Office Supplies,5,0.0,136.24,High,
Same Day,Consumer,East,Office Supplies,8,0.2,12.65,High,
Standard Class,Consumer,West,Office Supplies,8,0.2,14.54,Medium,
Standard Class,Consumer,East,Technology,9,0.0,223.31,High,
Standard Class,Consumer,Central Asia,Furniture,1,0.0,63.15,High,
Standard Class,Consumer,North,Office Supplies,1,0.1,7.29,Medium,Yes
Standard Class,Corporate,Africa,Technology,2,0.7,3.28,Medium,
Standard Class,Home Office,Africa,Office Supplies,1,0.7,10.72,High,
Standard Class,Home Office,Africa,Technology,1,0.7,5.72,High,
First Class,Home Office,Canada,Office Supplies,1,0.0,0.71,High,
Same Day,Corporate,Oceania,Office Supplies,5,0.1,93.63,High,
Same Day,Consumer,Africa,Office Supplies,1,0.0,3.36,Medium,
Second Class,Consumer,North Asia,Office Supplies,3,0.0,3.09,Medium,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,3.75,Medium,
Standard Class,Home Office,East,Technology,2,0.0,1.58,Medium,
Second Class,Corporate,Central,Office Supplies,14,0.0,26.34,High,
Second Class,Home Office,East,Office Supplies,1,0.2,1.51,Critical,
Standard Class,Consumer,South,Office Supplies,2,0.0,4.06,Medium,
Standard Class,Consumer,Oceania,Office Supplies,2,0.1,1.69,Medium,
Standard Class,Consumer,Central,Technology,2,0.002,16.59,Medium,
Standard Class,Corporate,Central Asia,Office Supplies,7,0.5,4.41,Medium,
First Class,Corporate,South,Technology,5,0.0,110.47,High,
Standard Class,Corporate,Africa,Office Supplies,1,0.0,3.47,Medium,
Standard Class,Corporate,South,Office Supplies,5,0.0,1.2,Medium,
Standard Class,Consumer,Oceania,Office Supplies,2,0.1,1.13,Medium,
Standard Class,Consumer,South,Furniture,3,0.0,55.56,High,
Standard Class,Corporate,Central,Technology,7,0.0,56.64,Medium,
Standard Class,Consumer,Southeast Asia,Technology,2,0.07,23.47,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,3,0.17,5.23,Medium,
Standard Class,Consumer,Southeast Asia,Technology,2,0.37,57.21,High,
Second Class,Home Office,EMEA,Office Supplies,1,0.0,5.45,High,
First Class,Consumer,Oceania,Office Supplies,4,0.4,3.17,Critical,
Standard Class,Consumer,South,Furniture,3,0.0,3.05,High,
Standard Class,Consumer,South,Office Supplies,2,0.0,2.04,Medium,
Standard Class,Corporate,Africa,Furniture,2,0.0,6.09,Medium,
Standard Class,Consumer,Oceania,Technology,1,0.1,7.46,Medium,
First Class,Consumer,Oceania,Office Supplies,5,0.4,13.18,Critical,
First Class,Corporate,South,Furniture,4,0.0,29.41,High,
Second Class,Consumer,North Asia,Office Supplies,2,0.0,0.64,Medium,
Standard Class,Consumer,South,Office Supplies,6,0.0,2.82,Medium,
Standard Class,Corporate,South,Office Supplies,3,0.0,0.66,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,5,0.47,9.26,High,
Standard Class,Corporate,South,Technology,3,0.0,73.62,Medium,
Standard Class,Home Office,East,Office Supplies,2,0.0,0.34,Medium,
Standard Class,Consumer,Southeast Asia,Office Supplies,2,0.47,9.71,High,
Standard Class,Corporate,South,Office Supplies,1,0.0,0.33,High,
Standard Class,Corporate,Africa,Office Supplies,4,0.7,0.31,High,
First Class,Consumer,West,Office Supplies,3,0.2,8.16,Medium,
Standard Class,Home Office,East,Office Supplies,2,0.0,0.18,Medium,
Standard Class,Home Office,South,Furniture,6,0.0,9.09,Medium,
Second Class,Corporate,South,Office Supplies,3,0.0,9.83,High,
Standard Class,Corporate,Central,Technology,6,0.15,30.88,Medium,
Standard Class,Corporate,South,Office Supplies,6,0.0,0.74,Medium,
Standard Class,Corporate,Central Asia,Office Supplies,3,0.5,30.74,Medium,
Same Day,Corporate,Oceania,Technology,9,0.1,555.77,High,
Standard Class,Home Office,EMEA,Office Supplies,6,0.0,3.66,Medium,
Standard Class,Consumer,Central Asia,Office Supplies,1,0.0,3.47,Medium,
Second Class,Home Office,Central,Office Supplies,7,0.0,6.61,Medium,
Standard Class,Home Office,EMEA,Office Supplies,1,0.0,1.18,Medium,
Standard Class,Corporate,Oceania,Office Supplies,1,0.0,1.99,High,
Second Class,Home Office,Central,Office Supplies,3,0.0,14.43,Medium,
Second Class,Consumer,Africa,Office Supplies,2,0.0,6.7,High,
First Class,Consumer,North Asia,Furniture,5,0.5,51.44,Critical,
Standard Class,Home Office,EMEA,Office Supplies,2,0.0,0.92,Medium,
Standard Class,Home Office,EMEA,Office Supplies,2,0.0,0.98,Medium,
Standard Class,Home Office,Central,Technology,7,0.0,57.54,High,
Standard Class,Home Office,EMEA,Office Supplies,2,0.0,9.52,Medium,
Standard Class,Home Office,EMEA,Furniture,4,0.0,142.47,Medium,
Standard Class,Home Office,EMEA,Office Supplies,2,0.0,2.81,Medium,
Standard Class,Consumer,Central,Office Supplies,4,0.1,3.13,Medium,
Second Class,Home Office,Central,Technology,9,0.0,35.06,Medium,
Standard Class,Home Office,EMEA,Furniture,1,0.0,3.96,Medium,
Standard Class,Home Office,East,Furniture,6,0.2,0.94,High,
Standard Class,Home Office,EMEA,Furniture,6,0.0,37.98,Medium,
First Class,Consumer,North Asia,Technology,8,0.5,487.32,Critical,
Second Class,Home Office,Central,Office Supplies,4,0.1,8.43,Medium,
Standard Class,Home Office,Central,Office Supplies,3,0.1,9.81,High,
Second Class,Home Office,Central,Office Supplies,9,0.0,6.12,Medium,
Standard Class,Home Office,Central,Office Supplies,4,0.0,4.38,High,
Standard Class,Home Office,Central,Office Supplies,2,0.0,2.99,High,
Second Class,Home Office,Central,Office Supplies,3,0.1,6.37,Medium,
Standard Class,Home Office,Central,Technology,3,0.0,87.77,High,
Standard Class,Home Office,EMEA,Office Supplies,1,0.0,0.3,Medium,
Standard Class,Consumer,North,Technology,2,0.002,5.21,Medium,
Standard Class,Consumer,Caribbean,Technology,3,0.0,14.52,Medium,
Standard Class,Consumer,North,Office Supplies,5,0.5,3.23,Medium,
Standard Class,Consumer,Africa,Technology,1,0.0,9.48,Medium,
Standard Class,Corporate,EMEA,Furniture,1,0.0,27.9,Medium,
Standard Class,Corporate,West,Technology,3,0.2,19.76,Medium,
First Class,Consumer,South,Technology,1,0.2,3.26,Critical,
Standard Class,Home Office,Africa,Office Supplies,2,0.0,16.45,Medium,
Second Class,Corporate,EMEA,Office Supplies,1,0.0,7.04,High,
Standard Class,Consumer,Africa,Office Supplies,1,0.0,3.62,Medium,
Same Day,Corporate,Central,Office Supplies,3,0.0,22.02,High,
Standard Class,Consumer,EMEA,Furniture,1,0.6,2.51,Medium,
Second Class,Consumer,EMEA,Furniture,1,0.0,8.7,High,
Standard Class,Consumer,Central,Office Supplies,2,0.1,7.36,Medium,
Standard Class,Corporate,South,Office Supplies,3,0.0,19.32,Low,
First Class,Consumer,EMEA,Office Supplies,2,0.6,1.6,Medium,
First Class,Consumer,EMEA,Office Supplies,4,0.6,4.62,Medium,
Same Day,Consumer,EMEA,Office Supplies,1,0.0,1.23,Medium,
First Class,Consumer,Central Asia,Office Supplies,3,0.0,9.0,Critical,
Standard Class,Consumer,EMEA,Office Supplies,1,0.6,0.36,Medium,
Second Class,Corporate,EMEA,Office Supplies,1,0.0,3.46,High,
Second Class,Consumer,Oceania,Technology,4,0.1,11.22,Medium,
Second Class,Consumer,Oceania,Office Supplies,1,0.0,7.85,Critical,
Standard Class,Consumer,West,Furniture,6,0.2,33.59,High,
Same Day,Corporate,Central,Technology,4,0.0,263.71,High,
Standard Class,Consumer,West,Furniture,4,0.2,3.4,High,
Same Day,Corporate,Central,Office Supplies,1,0.0,4.86,High,
Standard Class,Home Office,Central,Office Supplies,2,0.5,3.93,Medium,
Second Class,Consumer,EMEA,Technology,1,0.0,4.95,High,
Second Class,Corporate,EMEA,Office Supplies,2,0.0,4.97,High,
Standard Class,Corporate,South,Office Supplies,5,0.4,4.37,Low,
Standard Class,Consumer,West,Office Supplies,2,0.2,1.51,High,
Standard Class,Consumer,Caribbean,Office Supplies,10,0.0,26.41,Medium,
Standard Class,Consumer,EMEA,Office Supplies,1,0.6,1.15,Medium,
Standard Class,Consumer,North,Technology,2,0.5,3.76,Medium,
Standard Class,Home Office,Central,Technology,4,0.5,5.87,Medium,
Same Day,Corporate,Central,Technology,2,0.0,12.99,High,
Second Class,Corporate,EMEA,Technology,2,0.0,61.03,High,
Standard Class,Consumer,West,Office Supplies,2,0.2,14.91,High,
First Class,Consumer,EMEA,Technology,1,0.6,25.15,Medium,
Standard Class,Consumer,North,Furniture,1,0.5,0.92,Medium,
Second Class,Consumer,EMEA,Office Supplies,10,0.0,14.97,High,
Second Class,Corporate,Africa,Technology,2,0.0,10.36,Medium,
Second Class,Consumer,EMEA,Office Supplies,1,0.0,28.26,High,
Second Class,Consumer,Oceania,Office Supplies,2,0.0,13.05,Critical,
Same Day,Corporate,Central,Furniture,3,0.1,182.79,High,
Standard Class,Consumer,Central Asia,Office Supplies,2,0.0,11.12,Medium,
Standard Class,Consumer,South,Furniture,7,0.0,256.7,High,
Standard Class,Consumer,Central,Furniture,2,0.3,11.47,Medium,
Standard Class,Corporate,Africa,Furniture,4,0.0,42.01,Medium,
Standard Class,Consumer,Central Asia,Office Supplies,9,0.0,265.46,Medium,
Second Class,Consumer,Southeast Asia,Office Supplies,5,0.17,5.14,Critical,
Standard Class,Home Office,Southeast Asia,Technology,2,0.25,22.62,High,
First Class,Corporate,Central,Office Supplies,3,0.0,5.1,Medium,
Second Class,Corporate,Oceania,Office Supplies,2,0.4,2.34,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.2,2.24,Medium,
Standard Class,Consumer,Africa,Office Supplies,1,0.7,0.35,High,
Standard Class,Consumer,Central Asia,Office Supplies,4,0.0,1.06,High,
Standard Class,Consumer,EMEA,Technology,2,0.0,11.11,High,
Same Day,Home Office,North,Office Supplies,2,0.0,13.13,High,
Standard Class,Consumer,South,Office Supplies,4,0.0,14.73,High,
First Class,Corporate,Oceania,Office Supplies,2,0.1,6.05,High,
Standard Class,Consumer,Central,Office Supplies,3,0.2,1.22,Medium,
First Class,Consumer,East,Technology,2,0.0,25.86,High,
Standard Class,Consumer,Central Asia,Technology,2,0.0,2.33,Medium,
Standard Class,Consumer,South,Office Supplies,4,0.0,6.28,High,
Standard Class,Consumer,EMEA,Office Supplies,1,0.0,67.87,High,
Standard Class,Consumer,South,Office Supplies,3,0.0,5.54,High,
Standard Class,Consumer,EMEA,Technology,6,0.0,140.93,High,
First Class,Consumer,East,Office Supplies,3,0.2,632.05,High,
Standard Class,Corporate,Africa,Office Supplies,2,0.0,3.11,Medium,
Standard Class,Corporate,Africa,Furniture,8,0.0,26.73,Medium,
First Class,Home Office,Africa,Office Supplies,2,0.7,0.8,Critical,
Standard Class,Consumer,South,Office Supplies,4,0.4,20.37,High,
Standard Class,Consumer,East,Office Supplies,2,0.2,0.46,Medium,
Standard Class,Consumer,Central,Office Supplies,5,0.0,2.52,Medium,
Standard Class,Corporate,Central,Furniture,3,0.4,33.44,Medium,
